"Nazwa kampanii",Dzień,"Kliknięcia linku",Zasięg,Wyświetlenia,"Typ wyniku",Wyniki,Koszt/wynik,"Wydana kwota (PLN)","Początek okresu raportowania","Koniec okresu raportowania"
"[FB] Kverneland - ruch www",2025-04-04,8,967,1119,"Wyświetlenia strony docelowej",4,1.495,5.98,2025-04-04,2025-04-04
"[FB] Stehr - formularz",2025-04-04,12,2760,3335,,,,76.23,2025-04-04,2025-04-04
"[FB] Stehr demo - formularz",2025-04-04,17,3304,4148,"Kontakty w Meta",1,59.26,59.26,2025-04-04,2025-04-04
"[FB] Ciągniki Seria 6M - ruch www",2025-04-04,58,2776,3553,"Wyświetlenia strony docelowej",36,0.61555556,22.16,2025-04-04,2025-04-04
"[FB] Ciągniki Nowa Seria 6M - formularz",2025-04-04,11,1967,3110,,,,93.41,2025-04-04,2025-04-04
"[FB] Nowe Ciągniki Seria 6R - formularz",2025-04-04,2,1133,1560,,,,69.63,2025-04-04,2025-04-04
"[FB] Ciągniki Seria 6R - ruch www",2025-04-04,34,2014,2725,"Wyświetlenia strony docelowej",23,0.98521739,22.66,2025-04-04,2025-04-04
"[FB] Ciągniki 9RX - ruch www",2025-04-04,25,2401,2676,"Wyświetlenia strony docelowej",20,0.957,19.14,2025-04-04,2025-04-04
"[FB] Oddziały - zasięg",2025-04-04,,12374,12374,Zasięg,12374,3.23662518,40.05,2025-04-04,2025-04-04
"[FB] Kosiarki - ruch www",2025-04-04,29,5951,7324,"Wyświetlenia strony docelowej",19,1.75736842,33.39,2025-04-04,2025-04-04
"[FB] Ciągniki 8RX - ruch www",2025-04-04,39,7733,11497,"Wyświetlenia strony docelowej",34,1.00941176,34.32,2025-04-04,2025-04-04
"[FB] Ciągniki 6M250 - ruch www",2025-04-04,27,6137,7311,"Wyświetlenia strony docelowej",15,1.93,28.95,2025-04-04,2025-04-04
"[FB] Vaderstad - uprawowe - konwersje www",2025-04-04,7,736,1081,,,,20.47,2025-04-04,2025-04-04
"[FB] Vaderstad - uprawowe - ruch www",2025-04-04,26,2178,2647,"Wyświetlenia strony docelowej",17,0.85882353,14.6,2025-04-04,2025-04-04
"[FB] Ciągniki - Seria 5 - ruch www",2025-04-04,36,4880,5610,"Wyświetlenia strony docelowej",17,1.77411765,30.16,2025-04-04,2025-04-04
"[FB] Posty - aktywność",2025-04-04,,527,859,,,,4.7,2025-04-04,2025-04-04
"[FB] Seriws - zasięg",2025-04-03,,1,1,Zasięg,1,20,0.02,2025-04-03,2025-04-03
"[FB] Skontakuj się z nami - messenger",2025-04-03,3,354,579,,,,4.45,2025-04-03,2025-04-03
"[FB] Ciągniki - Używane jak nowe - YU",2025-04-03,7,1956,2535,,,,28,2025-04-03,2025-04-03
"[FB] Serwis - kontakty",2025-04-03,4,782,999,,,,13.88,2025-04-03,2025-04-03
"[FB] Ciągniki Ogólne - ruch www",2025-04-03,13,982,1124,"Wyświetlenia strony docelowej",2,4.505,9.01,2025-04-03,2025-04-03
"[FB] ASM Pagelike",2025-04-03,2,906,1134,"Obserwatorzy lub polubienia na Facebooku",1,7.63,7.63,2025-04-03,2025-04-03
"[FB] Kverneland",2025-04-03,17,2392,2848,,,,37.75,2025-04-03,2025-04-03
"[FB] Serwis - połączenia",2025-04-03,11,3136,3947,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,23.76,23.76,2025-04-03,2025-04-03
"[FB] Serwis - ruch www",2025-04-03,11,1468,1982,,,,9.6,2025-04-03,2025-04-03
"[FB] Rolnictwo precyzyjne",2025-04-03,3,1592,2202,,,,35.78,2025-04-03,2025-04-03
"[FB] Ciągniki 7R - ruch www",2025-04-03,9,1322,2196,"Wyświetlenia zawartości witryny",7,2.44714286,17.13,2025-04-03,2025-04-03
"[FB] Ciągniki Seria 6M - formularz",2025-04-03,12,1355,2309,"Kontakty w Meta",1,77.78,77.78,2025-04-03,2025-04-03
"[FB] ASM Vaderstad finansowanie",2025-04-03,5,1056,1535,,,,40,2025-04-03,2025-04-03
"[FB] ASM Maszyny komunalne",2025-04-03,6,1127,1468,,,,47.01,2025-04-03,2025-04-03
"[FB] ASM - Ciągniki 7R - formularz",2025-04-03,6,1855,2368,,,,44.01,2025-04-03,2025-04-03
"[FB]  ASM - Kramer",2025-04-03,44,7619,11571,"Kontakty w Meta",8,18.9175,151.34,2025-04-03,2025-04-03
"[FB] ASM Kampania Serwis Oddziały",2025-04-03,24,16586,19696,Zasięg,16586,2.57626914,42.73,2025-04-03,2025-04-03
"[FB] ASM SaMASZ",2025-04-03,5,672,838,,,,20.91,2025-04-03,2025-04-03
"[FB] Remarketing",2025-04-03,8,2328,3603,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,23.55,23.55,2025-04-03,2025-04-03
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-04-03,12,3961,5933,,,,63.95,2025-04-03,2025-04-03
"[FB] Ciągniki 8RX - formularz",2025-04-03,6,1006,1306,,,,56.06,2025-04-03,2025-04-03
"[FB] Joskin - wyprzedaż",2025-04-03,13,1485,2186,,,,39.13,2025-04-03,2025-04-03
"[FB] Kramer - ruch www",2025-04-03,19,1430,1816,"Wyświetlenia strony docelowej",1,15.38,15.38,2025-04-03,2025-04-03
"[FB] Vaderstad - siew - ruch www",2025-04-03,15,1933,2328,"Wyświetlenia strony docelowej",6,2.445,14.67,2025-04-03,2025-04-03
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-04-03,5,1299,1619,,,,9.39,2025-04-03,2025-04-03
"[FB] SaMASZ - konwersje www",2025-04-03,6,1178,1601,,,,14.33,2025-04-03,2025-04-03
"[FB] Esklep - części ogólna",2025-04-03,96,11987,15770,,,,99.08,2025-04-03,2025-04-03
"[FB] Kverneland - ruch www",2025-04-03,7,791,874,"Wyświetlenia strony docelowej",2,2.955,5.91,2025-04-03,2025-04-03
"[FB] Stehr - formularz",2025-04-03,18,3294,3978,,,,82.29,2025-04-03,2025-04-03
"[FB] Stehr demo - formularz",2025-04-03,11,3045,4124,"Kontakty w Meta",1,57.88,57.88,2025-04-03,2025-04-03
"[FB] Ciągniki Seria 6M - ruch www",2025-04-03,44,2424,2954,"Wyświetlenia strony docelowej",1,18.88,18.88,2025-04-03,2025-04-03
"[FB] Ciągniki Nowa Seria 6M - formularz",2025-04-03,10,1867,3063,"Kontakty w Meta",2,41.22,82.44,2025-04-03,2025-04-03
"[FB] Nowe Ciągniki Seria 6R - formularz",2025-04-03,3,1231,1734,,,,54.35,2025-04-03,2025-04-03
"[FB] Ciągniki Seria 6R - ruch www",2025-04-03,22,2158,2884,"Wyświetlenia strony docelowej",6,3.505,21.03,2025-04-03,2025-04-03
"[FB] Ciągniki 9RX - ruch www",2025-04-03,50,2344,2594,"Wyświetlenia strony docelowej",27,0.66851852,18.05,2025-04-03,2025-04-03
"[FB] Oddziały - zasięg",2025-04-03,,13383,13586,Zasięg,13383,2.85137861,38.16,2025-04-03,2025-04-03
"[FB] Kosiarki - ruch www",2025-04-03,23,2652,3228,"Wyświetlenia strony docelowej",2,14.765,29.53,2025-04-03,2025-04-03
"[FB] Ciągniki 8RX - ruch www",2025-04-03,37,4090,5642,,,,32,2025-04-03,2025-04-03
"[FB] Ciągniki 6M250 - ruch www",2025-04-03,27,3948,4847,,,,31.29,2025-04-03,2025-04-03
"[FB] Vaderstad - uprawowe - konwersje www",2025-04-03,7,1091,1519,,,,25.35,2025-04-03,2025-04-03
"[FB] Vaderstad - uprawowe - ruch www",2025-04-03,14,1503,1760,"Wyświetlenia strony docelowej",5,2.76,13.8,2025-04-03,2025-04-03
"[FB] Ciągniki - Seria 5 - ruch www",2025-04-03,34,4053,4589,"Wyświetlenia strony docelowej",2,13.315,26.63,2025-04-03,2025-04-03
"[FB] Posty - aktywność",2025-04-03,,550,876,"Aktywność dotycząca postów",3,1.49666667,4.49,2025-04-03,2025-04-03
"[FB] Ciągniki 7R - ruch www",2025-04-02,8,1358,2350,"Wyświetlenia zawartości witryny",3,5.91333333,17.74,2025-04-02,2025-04-02
"[FB] Ciągniki - Używane jak nowe - YU",2025-04-02,18,2184,2845,,,,28.14,2025-04-02,2025-04-02
"[FB] Serwis - kontakty",2025-04-02,3,863,1110,"Kontakty w Meta",1,14.82,14.82,2025-04-02,2025-04-02
"[FB] Ciągniki Ogólne - ruch www",2025-04-02,6,1115,1298,,,,8.88,2025-04-02,2025-04-02
"[FB] ASM Pagelike",2025-04-02,,1202,1463,"Obserwatorzy lub polubienia na Facebooku",2,3.99,7.98,2025-04-02,2025-04-02
"[FB] Kverneland",2025-04-02,18,1912,2492,"Kontakty w Meta",1,38.8,38.8,2025-04-02,2025-04-02
"[FB] Serwis - połączenia",2025-04-02,18,3010,4157,"Szacunkowa liczba kliknięć potwierdzających połączenie",2,11.4,22.8,2025-04-02,2025-04-02
"[FB] Serwis - ruch www",2025-04-02,9,1584,2089,,,,9.68,2025-04-02,2025-04-02
"[FB] Seriws - zasięg",2025-04-02,,1,1,Zasięg,1,30,0.03,2025-04-02,2025-04-02
"[FB] Ciągniki 8RX - formularz",2025-04-02,10,1221,1624,"Kontakty w Meta",1,68.85,68.85,2025-04-02,2025-04-02
"[FB] Ciągniki Seria 6M - formularz",2025-04-02,5,1249,2200,,,,79.82,2025-04-02,2025-04-02
"[FB] ASM Vaderstad finansowanie",2025-04-02,4,858,1305,,,,44.15,2025-04-02,2025-04-02
"[FB] ASM Maszyny komunalne",2025-04-02,10,1019,1304,"Kontakty w Meta",1,43.58,43.58,2025-04-02,2025-04-02
"[FB] ASM - Ciągniki 7R - formularz",2025-04-02,6,2216,2927,,,,50.67,2025-04-02,2025-04-02
"[FB]  ASM - Kramer",2025-04-02,31,6458,8819,,,,121.87,2025-04-02,2025-04-02
"[FB] ASM Kampania Serwis Oddziały",2025-04-02,23,17995,21036,Zasięg,17995,2.49569325,44.91,2025-04-02,2025-04-02
"[FB] ASM SaMASZ",2025-04-02,6,1311,1935,,,,37.12,2025-04-02,2025-04-02
"[FB] Remarketing",2025-04-02,12,2408,3935,,,,23.54,2025-04-02,2025-04-02
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-04-02,16,4307,6214,,,,66.21,2025-04-02,2025-04-02
"[FB] Rolnictwo precyzyjne",2025-04-02,10,1794,2478,"Kontakty w Meta",1,40.57,40.57,2025-04-02,2025-04-02
"[FB] Skontakuj się z nami - messenger",2025-04-02,6,390,602,,,,4.95,2025-04-02,2025-04-02
"[FB] Prasy",2025-04-02,2,189,206,,,,4.21,2025-04-02,2025-04-02
"[FB] Kramer - ruch www",2025-04-02,14,1386,1676,,,,13.99,2025-04-02,2025-04-02
"[FB] Ciągniki Seria 6R - ruch www",2025-04-02,34,2431,3124,"Wyświetlenia strony docelowej",19,1.16473684,22.13,2025-04-02,2025-04-02
"[FB] Joskin - wyprzedaż",2025-04-02,12,1292,1961,,,,34.95,2025-04-02,2025-04-02
"[FB] Kverneland - ruch www",2025-04-02,9,730,857,,,,5.51,2025-04-02,2025-04-02
"[FB] Stehr - formularz",2025-04-02,23,5155,6105,,,,83.44,2025-04-02,2025-04-02
"[FB] Stehr demo - formularz",2025-04-02,19,3666,4534,,,,65.44,2025-04-02,2025-04-02
"[FB] Nowe Ciągniki Seria 6R - formularz",2025-04-02,4,1005,1378,,,,64.18,2025-04-02,2025-04-02
"[FB] Ciągniki Seria 6M - ruch www",2025-04-02,53,2313,2969,"Wyświetlenia strony docelowej",1,18.51,18.51,2025-04-02,2025-04-02
"[FB] Ciągniki Nowa Seria 6M - formularz",2025-04-02,8,1890,3094,,,,96.97,2025-04-02,2025-04-02
"[FB] Vaderstad - siew - ruch www",2025-04-02,19,2060,2611,"Wyświetlenia strony docelowej",3,4.62333333,13.87,2025-04-02,2025-04-02
"[FB] Esklep - części ogólna",2025-04-02,78,11884,16051,,,,92.57,2025-04-02,2025-04-02
"[FB] Kosiarki - ruch www",2025-04-02,23,2528,3098,"Wyświetlenia strony docelowej",4,7.0225,28.09,2025-04-02,2025-04-02
"[FB] Ciągniki 9RX - ruch www",2025-04-02,39,2634,2866,"Wyświetlenia strony docelowej",17,1.07294118,18.24,2025-04-02,2025-04-02
"[FB] Oddziały - zasięg",2025-04-02,,14192,14454,Zasięg,14192,2.78889515,39.58,2025-04-02,2025-04-02
"[FB] Ciągniki 6M250 - ruch www",2025-04-02,32,4142,5474,,,,28.77,2025-04-02,2025-04-02
"[FB] Ciągniki 8RX - ruch www",2025-04-02,21,4025,5869,,,,31.31,2025-04-02,2025-04-02
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-04-02,8,1231,1585,"Wyświetlenia strony docelowej",1,9.4,9.4,2025-04-02,2025-04-02
"[FB] Vaderstad - uprawowe - konwersje www",2025-04-02,9,1081,1604,,,,26.41,2025-04-02,2025-04-02
"[FB] Vaderstad - uprawowe - ruch www",2025-04-02,27,1652,2090,"Wyświetlenia strony docelowej",11,1.38090909,15.19,2025-04-02,2025-04-02
"[FB] Ciągniki - Seria 5 - ruch www",2025-04-02,41,3126,3541,"Wyświetlenia strony docelowej",2,10.365,20.73,2025-04-02,2025-04-02
"[FB] Posty - aktywność",2025-04-02,,513,838,"Aktywność dotycząca postów",2,2.285,4.57,2025-04-02,2025-04-02
"[FB] Seriws - zasięg",2025-04-01,,2,2,Zasięg,2,30,0.06,2025-04-01,2025-04-01
"[FB] Ciągniki 8RX - formularz",2025-04-01,7,1229,1541,,,,67,2025-04-01,2025-04-01
"[FB] Skontakuj się z nami - messenger",2025-04-01,6,764,1011,,,,4.76,2025-04-01,2025-04-01
"[FB] Ciągniki - Używane jak nowe - YU",2025-04-01,12,2060,2609,,,,29.89,2025-04-01,2025-04-01
"[FB] Serwis - kontakty",2025-04-01,5,822,1034,"Kontakty w Meta",1,16.04,16.04,2025-04-01,2025-04-01
"[FB] Ciągniki Ogólne - ruch www",2025-04-01,25,1312,1481,"Wyświetlenia strony docelowej",3,3.57333333,10.72,2025-04-01,2025-04-01
"[FB] ASM Pagelike",2025-04-01,1,1166,1442,"Obserwatorzy lub polubienia na Facebooku",5,1.52,7.6,2025-04-01,2025-04-01
"[FB] Kverneland",2025-04-01,9,2161,2924,,,,42.57,2025-04-01,2025-04-01
"[FB] Serwis - połączenia",2025-04-01,15,3618,4899,"Szacunkowa liczba kliknięć potwierdzających połączenie",2,13.23,26.46,2025-04-01,2025-04-01
"[FB] Serwis - ruch www",2025-04-01,9,1505,2145,,,,9.77,2025-04-01,2025-04-01
"[FB] ASM - Ciągniki 7R - formularz",2025-04-01,8,2074,2708,,,,50.1,2025-04-01,2025-04-01
"[FB] Ciągniki 7R - ruch www",2025-04-01,11,1646,3061,"Wyświetlenia zawartości witryny",7,2.95285714,20.67,2025-04-01,2025-04-01
"[FB] Ciągniki Seria 6M - formularz",2025-04-01,13,1470,2397,"Kontakty w Meta",1,87.42,87.42,2025-04-01,2025-04-01
"[FB] ASM Vaderstad finansowanie",2025-04-01,5,1026,1515,,,,43.99,2025-04-01,2025-04-01
"[FB] ASM Maszyny komunalne",2025-04-01,8,1079,1340,,,,46,2025-04-01,2025-04-01
"[FB] Rolnictwo precyzyjne",2025-04-01,2,1702,2324,,,,39.29,2025-04-01,2025-04-01
"[FB]  ASM - Kramer",2025-04-01,26,6865,9303,,,,123.11,2025-04-01,2025-04-01
"[FB] ASM Kampania Serwis Oddziały",2025-04-01,32,18373,21891,Zasięg,18373,2.36542753,43.46,2025-04-01,2025-04-01
"[FB] ASM SaMASZ",2025-04-01,7,1452,2009,,,,46.12,2025-04-01,2025-04-01
"[FB] Remarketing",2025-04-01,10,2678,4113,,,,25.28,2025-04-01,2025-04-01
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-04-01,15,4551,6796,,,,70.91,2025-04-01,2025-04-01
"[FB] Kramer - ruch www",2025-04-01,21,1661,1970,"Wyświetlenia strony docelowej",1,17.68,17.68,2025-04-01,2025-04-01
"[FB] Joskin - wyprzedaż",2025-04-01,10,1493,2265,,,,39.07,2025-04-01,2025-04-01
"[FB] Monosem - ruch www",2025-04-01,2,395,434,,,,3.77,2025-04-01,2025-04-01
"[FB] Prasy",2025-04-01,1,631,757,,,,13.71,2025-04-01,2025-04-01
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-04-01,6,1255,1591,,,,10.04,2025-04-01,2025-04-01
"[FB] Esklep - części ogólna",2025-04-01,104,12828,17261,,,,91.93,2025-04-01,2025-04-01
"[FB] Kverneland - ruch www",2025-04-01,6,710,854,,,,5.67,2025-04-01,2025-04-01
"[FB] Stehr - formularz",2025-04-01,18,4450,5188,,,,87.31,2025-04-01,2025-04-01
"[FB] Stehr demo - formularz",2025-04-01,26,3309,3882,,,,60.94,2025-04-01,2025-04-01
"[FB] Nowe Ciągniki Seria 6R - formularz",2025-04-01,4,1514,2154,,,,70.03,2025-04-01,2025-04-01
"[FB] Ciągniki Nowa Seria 6M - formularz",2025-04-01,13,2645,4196,,,,99.9,2025-04-01,2025-04-01
"[FB] Vaderstad - siew - ruch www",2025-04-01,15,2501,3049,"Wyświetlenia strony docelowej",4,4.14,16.56,2025-04-01,2025-04-01
"[FB] Ciągniki Seria 6R - ruch www",2025-04-01,18,2267,2981,"Wyświetlenia strony docelowej",10,2.286,22.86,2025-04-01,2025-04-01
"[FB] Ciągniki Seria 6M - ruch www",2025-04-01,58,2009,2549,"Wyświetlenia strony docelowej",1,18.66,18.66,2025-04-01,2025-04-01
"[FB] Kosiarki - ruch www",2025-04-01,16,2484,2886,"Wyświetlenia strony docelowej",2,13.54,27.08,2025-04-01,2025-04-01
"[FB] Ciągniki 8RX - ruch www",2025-04-01,31,4636,6940,"Wyświetlenia strony docelowej",2,17.17,34.34,2025-04-01,2025-04-01
"[FB] Posty - aktywność",2025-04-01,,443,731,"Aktywność dotycząca postów",3,1.48666667,4.46,2025-04-01,2025-04-01
"[FB] Ciągniki 6M250 - ruch www",2025-04-01,21,4880,6153,"Wyświetlenia strony docelowej",2,15.165,30.33,2025-04-01,2025-04-01
"[FB] Monosem - kontakty",2025-04-01,1,207,219,,,,4.3,2025-04-01,2025-04-01
"[FB] Oddziały - zasięg",2025-04-01,,13885,14467,Zasięg,13885,2.81814908,39.13,2025-04-01,2025-04-01
"[FB] Ciągniki 9RX - ruch www",2025-04-01,27,2573,2857,"Wyświetlenia strony docelowej",12,1.5,18,2025-04-01,2025-04-01
"[FB] Vaderstad - uprawowe - konwersje www",2025-04-01,8,1143,1703,,,,26,2025-04-01,2025-04-01
"[FB] Vaderstad - uprawowe - ruch www",2025-04-01,16,1956,2313,"Wyświetlenia strony docelowej",3,4.84333333,14.53,2025-04-01,2025-04-01
"[FB] Ciągniki - Seria 5 - ruch www",2025-04-01,52,3510,4122,"Wyświetlenia strony docelowej",3,7.93666667,23.81,2025-04-01,2025-04-01
"[FB] Seriws - zasięg",2025-03-31,,1,1,Zasięg,1,10,0.01,2025-03-31,2025-03-31
"[FB] Ciągniki 8RX - formularz",2025-03-31,6,1335,1808,,,,79.75,2025-03-31,2025-03-31
"[FB] Skontakuj się z nami - messenger",2025-03-31,4,685,930,,,,4.82,2025-03-31,2025-03-31
"[FB] Ciągniki - Używane jak nowe - YU",2025-03-31,18,2240,2920,,,,33.36,2025-03-31,2025-03-31
"[FB] Serwis - kontakty",2025-03-31,5,855,1181,,,,16.88,2025-03-31,2025-03-31
"[FB] Ciągniki Ogólne - ruch www",2025-03-31,13,1202,1411,"Wyświetlenia strony docelowej",1,10.05,10.05,2025-03-31,2025-03-31
"[FB] ASM Pagelike",2025-03-31,,918,1122,"Obserwatorzy lub polubienia na Facebooku",1,8.32,8.32,2025-03-31,2025-03-31
"[FB] Kverneland",2025-03-31,12,1938,2737,,,,45.28,2025-03-31,2025-03-31
"[FB] Serwis - połączenia",2025-03-31,32,4039,5218,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,29.94,29.94,2025-03-31,2025-03-31
"[FB] Serwis - ruch www",2025-03-31,9,1446,2024,,,,10.08,2025-03-31,2025-03-31
"[FB] Rolnictwo precyzyjne",2025-03-31,6,1675,2292,,,,45.09,2025-03-31,2025-03-31
"[FB] Ciągniki 7R - ruch www",2025-03-31,8,1659,2786,"Wyświetlenia zawartości witryny",7,3.24142857,22.69,2025-03-31,2025-03-31
"[FB] Ciągniki Seria 6M - formularz",2025-03-31,7,1021,1791,,,,96.64,2025-03-31,2025-03-31
"[FB] ASM Vaderstad finansowanie",2025-03-31,7,1063,1563,,,,51.64,2025-03-31,2025-03-31
"[FB] ASM Maszyny komunalne",2025-03-31,3,1193,1659,,,,49.86,2025-03-31,2025-03-31
"[FB] ASM - Ciągniki 7R - formularz",2025-03-31,8,2288,3095,,,,54.88,2025-03-31,2025-03-31
"[FB]  ASM - Kramer",2025-03-31,33,7266,9912,"Kontakty w Meta",2,69.255,138.51,2025-03-31,2025-03-31
"[FB] ASM Kampania Serwis Oddziały",2025-03-31,31,16502,19615,Zasięg,16502,2.58877712,42.72,2025-03-31,2025-03-31
"[FB] ASM SaMASZ",2025-03-31,2,409,558,,,,17.37,2025-03-31,2025-03-31
"[FB] Remarketing",2025-03-31,9,2376,3622,,,,24.44,2025-03-31,2025-03-31
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-03-31,19,5563,7821,,,,81.09,2025-03-31,2025-03-31
"[FB] Kramer - ruch www",2025-03-31,13,1333,1700,,,,14.78,2025-03-31,2025-03-31
"[FB] Joskin - wyprzedaż",2025-03-31,7,1501,2480,,,,45.31,2025-03-31,2025-03-31
"[FB] Monosem - ruch www",2025-03-31,12,1857,2061,,,,15.5,2025-03-31,2025-03-31
"[FB] Prasy",2025-03-31,1,736,895,,,,16.66,2025-03-31,2025-03-31
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-03-31,4,1326,1679,,,,10.1,2025-03-31,2025-03-31
"[FB] Esklep - części ogólna",2025-03-31,80,9891,12785,"Zakupy w witrynie",1,109.51,109.51,2025-03-31,2025-03-31
"[FB] Kverneland - ruch www",2025-03-31,8,857,1019,"Wyświetlenia strony docelowej",1,6.18,6.18,2025-03-31,2025-03-31
"[FB] Stehr - formularz",2025-03-31,27,4374,5248,"Kontakty w Meta",1,93.48,93.48,2025-03-31,2025-03-31
"[FB] Stehr demo - formularz",2025-03-31,14,2871,3510,,,,67.01,2025-03-31,2025-03-31
"[FB] Nowe Ciągniki Seria 6R - formularz",2025-03-31,2,1360,1798,,,,70.31,2025-03-31,2025-03-31
"[FB] Ciągniki Nowa Seria 6M - formularz",2025-03-31,10,1915,3137,,,,102.06,2025-03-31,2025-03-31
"[FB] Vaderstad - siew - ruch www",2025-03-31,19,2379,2967,"Wyświetlenia strony docelowej",6,2.56166667,15.37,2025-03-31,2025-03-31
"[FB] Ciągniki Seria 6R - ruch www",2025-03-31,20,2598,3519,"Wyświetlenia strony docelowej",12,1.77916667,21.35,2025-03-31,2025-03-31
"[FB] Ciągniki Seria 6M - ruch www",2025-03-31,64,2470,2933,"Wyświetlenia strony docelowej",2,10.565,21.13,2025-03-31,2025-03-31
"[FB] Kosiarki - ruch www",2025-03-31,36,2414,2867,"Wyświetlenia strony docelowej",4,7.985,31.94,2025-03-31,2025-03-31
"[FB] Ciągniki 8RX - ruch www",2025-03-31,16,3834,5816,,,,31.48,2025-03-31,2025-03-31
"[FB] Posty - aktywność",2025-03-31,,293,549,"Aktywność dotycząca postów",4,1.13,4.52,2025-03-31,2025-03-31
"[FB] Ciągniki 6M250 - ruch www",2025-03-31,24,4315,5656,"Wyświetlenia strony docelowej",1,30.21,30.21,2025-03-31,2025-03-31
"[FB] Monosem - kontakty",2025-03-31,3,693,894,,,,16.97,2025-03-31,2025-03-31
"[FB] Oddziały - zasięg",2025-03-31,,12809,13707,Zasięg,12809,3.04473417,39,2025-03-31,2025-03-31
"[FB] Ciągniki 9RX - ruch www",2025-03-31,27,2659,3018,"Wyświetlenia strony docelowej",12,1.61833333,19.42,2025-03-31,2025-03-31
"[FB] Vaderstad - uprawowe - konwersje www",2025-03-31,14,1059,1502,,,,26.54,2025-03-31,2025-03-31
"[FB] Vaderstad - uprawowe - ruch www",2025-03-31,28,2252,2651,"Wyświetlenia strony docelowej",12,1.29,15.48,2025-03-31,2025-03-31
"[FB] Ciągniki - Seria 5 - ruch www",2025-03-31,31,3235,3924,"Wyświetlenia strony docelowej",5,4.956,24.78,2025-03-31,2025-03-31
"[FB] Seriws - zasięg",2025-03-30,,1,1,Zasięg,1,0,0,2025-03-30,2025-03-30
"[FB] Ciągniki 8RX - formularz",2025-03-30,3,1547,2060,,,,73.69,2025-03-30,2025-03-30
"[FB] Skontakuj się z nami - messenger",2025-03-30,7,679,927,,,,5.64,2025-03-30,2025-03-30
"[FB] Ciągniki - Używane jak nowe - YU",2025-03-30,23,2199,2771,,,,31.72,2025-03-30,2025-03-30
"[FB] Serwis - kontakty",2025-03-30,2,907,1219,"Kontakty w Meta",1,16.18,16.18,2025-03-30,2025-03-30
"[FB] Ciągniki Ogólne - ruch www",2025-03-30,15,1145,1384,"Wyświetlenia strony docelowej",1,11.29,11.29,2025-03-30,2025-03-30
"[FB] ASM Pagelike",2025-03-30,1,1145,1302,"Obserwatorzy lub polubienia na Facebooku",2,4.25,8.5,2025-03-30,2025-03-30
"[FB] Kverneland",2025-03-30,20,1835,2499,,,,44.61,2025-03-30,2025-03-30
"[FB] Serwis - połączenia",2025-03-30,18,3745,4793,"Szacunkowa liczba kliknięć potwierdzających połączenie",2,15.415,30.83,2025-03-30,2025-03-30
"[FB] Serwis - ruch www",2025-03-30,10,1578,2349,,,,10.54,2025-03-30,2025-03-30
"[FB] Rolnictwo precyzyjne",2025-03-30,7,1582,2292,,,,42.95,2025-03-30,2025-03-30
"[FB] Ciągniki 7R - ruch www",2025-03-30,8,1803,2958,,,,21.48,2025-03-30,2025-03-30
"[FB] Ciągniki Seria 6M - formularz",2025-03-30,15,1362,2326,,,,92.16,2025-03-30,2025-03-30
"[FB] ASM Vaderstad finansowanie",2025-03-30,6,980,1519,"Kontakty w Meta",1,54.11,54.11,2025-03-30,2025-03-30
"[FB] ASM Maszyny komunalne",2025-03-30,6,1103,1506,,,,53.15,2025-03-30,2025-03-30
"[FB] ASM - Ciągniki 7R - formularz",2025-03-30,8,2464,3355,"Kontakty w Meta",1,54.27,54.27,2025-03-30,2025-03-30
"[FB]  ASM - Kramer",2025-03-30,40,6604,9120,,,,140.89,2025-03-30,2025-03-30
"[FB] ASM Kampania Serwis Oddziały",2025-03-30,24,17937,21151,Zasięg,17937,2.60076936,46.65,2025-03-30,2025-03-30
"[FB] ASM SaMASZ",2025-03-30,1,430,641,,,,18.62,2025-03-30,2025-03-30
"[FB] Remarketing",2025-03-30,11,2279,3733,,,,26.34,2025-03-30,2025-03-30
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-03-30,15,4869,7134,"Kontakty w Meta",2,38.515,77.03,2025-03-30,2025-03-30
"[FB] Kramer - ruch www",2025-03-30,12,1155,1443,,,,13.99,2025-03-30,2025-03-30
"[FB] Monosem - ruch www",2025-03-30,17,1885,2098,,,,16.52,2025-03-30,2025-03-30
"[FB] Joskin - wyprzedaż",2025-03-30,17,1420,2345,,,,43.4,2025-03-30,2025-03-30
"[FB] Prasy",2025-03-30,1,800,938,,,,15.64,2025-03-30,2025-03-30
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-03-30,3,1311,1702,,,,10.51,2025-03-30,2025-03-30
"[FB] Esklep - części ogólna",2025-03-30,115,13821,19151,"Zakupy w witrynie",1,106.7,106.7,2025-03-30,2025-03-30
"[FB] Kverneland - ruch www",2025-03-30,16,909,1044,,,,6.97,2025-03-30,2025-03-30
